GEO_ID,Zip Code,ucgid,County,County Code,State Number,State,Year,CENSUS_Category,Population,Variable Code,Label,Type,Category,Detail
860Z200US99668,99668,860Z200US99668,Bethel Census Area,0500000US02050,02,Alaska,2023,S1901_C01_001E,17,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99679,99679,860Z200US99679,Bethel Census Area,0500000US02050,02,Alaska,2023,S1901_C01_001E,12,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99680,99680,860Z200US99680,Bethel Census Area,0500000US02050,02,Alaska,2023,S1901_C01_001E,105,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99681,99681,860Z200US99681,Bethel Census Area,0500000US02050,02,Alaska,2023,S1901_C01_001E,75,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99690,99690,860Z200US99690,Bethel Census Area,0500000US02050,02,Alaska,2023,S1901_C01_001E,14,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99613,99613,860Z200US99613,Bristol Bay Borough,0500000US02060,02,Alaska,2023,S1901_C01_001E,146,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99633,99633,860Z200US99633,Bristol Bay Borough,0500000US02060,02,Alaska,2023,S1901_C01_001E,125,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99670,99670,860Z200US99670,Bristol Bay Borough,0500000US02060,02,Alaska,2023,S1901_C01_001E,40,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99574,99574,860Z200US99574,Chugach Census Area,0500000US02063,02,Alaska,2023,S1901_C01_001E,888,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99677,99677,860Z200US99677,Chugach Census Area,0500000US02063,02,Alaska,2023,S1901_C01_001E,9,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99686,99686,860Z200US99686,Chugach Census Area,0500000US02063,02,Alaska,2023,S1901_C01_001E,1614,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99693,99693,860Z200US99693,Chugach Census Area,0500000US02063,02,Alaska,2023,S1901_C01_001E,168,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99566,99566,860Z200US99566,Copper River Census Area,0500000US02066,02,Alaska,2023,S1901_C01_001E,58,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99573,99573,860Z200US99573,Copper River Census Area,0500000US02066,02,Alaska,2023,S1901_C01_001E,336,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99586,99586,860Z200US99586,Copper River Census Area,0500000US02066,02,Alaska,2023,S1901_C01_001E,212,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99588,99588,860Z200US99588,Copper River Census Area,0500000US02066,02,Alaska,2023,S1901_C01_001E,498,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99737,99737,860Z200US99737,Copper River Census Area,0500000US02066,02,Alaska,2023,S1901_C01_001E,1459,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99780,99780,860Z200US99780,Copper River Census Area,0500000US02066,02,Alaska,2023,S1901_C01_001E,716,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99704,99704,860Z200US99704,Denali Borough,0500000US02068,02,Alaska,2023,S1901_C01_001E,0,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99729,99729,860Z200US99729,Denali Borough,0500000US02068,02,Alaska,2023,S1901_C01_001E,80,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99743,99743,860Z200US99743,Denali Borough,0500000US02068,02,Alaska,2023,S1901_C01_001E,268,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99744,99744,860Z200US99744,Denali Borough,0500000US02068,02,Alaska,2023,S1901_C01_001E,52,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99755,99755,860Z200US99755,Denali Borough,0500000US02068,02,Alaska,2023,S1901_C01_001E,100,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99760,99760,860Z200US99760,Denali Borough,0500000US02068,02,Alaska,2023,S1901_C01_001E,394,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99555,99555,860Z200US99555,Dillingham Census Area,0500000US02070,02,Alaska,2023,S1901_C01_001E,44,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99569,99569,860Z200US99569,Dillingham Census Area,0500000US02070,02,Alaska,2023,S1901_C01_001E,8,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99576,99576,860Z200US99576,Dillingham Census Area,0500000US02070,02,Alaska,2023,S1901_C01_001E,803,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99580,99580,860Z200US99580,Dillingham Census Area,0500000US02070,02,Alaska,2023,S1901_C01_001E,14,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99628,99628,860Z200US99628,Dillingham Census Area,0500000US02070,02,Alaska,2023,S1901_C01_001E,150,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99636,99636,860Z200US99636,Dillingham Census Area,0500000US02070,02,Alaska,2023,S1901_C01_001E,96,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99678,99678,860Z200US99678,Dillingham Census Area,0500000US02070,02,Alaska,2023,S1901_C01_001E,268,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
