Total population,Male,Female,Sex ratio (males per 100 females),Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),Under 18 years,16 years and over,18 years and over,21 years and over,62 years and over,65 years and over,One race,Two or More Races,White,Black or African American,American Indian and Alaska Native,Aztec,Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,Maya,Native Village of Barrow Inupiat Traditional Government,Navajo Nation,Nome Eskimo Community,Other American Indian and Alaska Native,Asian,Asian Indian,Chinese,Filipino,Japanese,Korean,Vietnamese,Other Asian,Native Hawaiian and Other Pacific Islander,Chamorro,Native Hawaiian,Samoan,Other Native Hawaiian and Other Pacific Islander,Some Other Race,White and Black or African American,White and American Indian and Alaska Native,White and Asian,White and Some Other Race,Black or African American and American Indian and Alaska Native,Black or African American and Some Other Race,Hispanic or Latino (of any race),Mexican,Puerto Rican,Cuban,Other Hispanic or Latino,Not Hispanic or Latino,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two races including Some Other Race,"Two races excluding Some Other Race, and three or more races",Total housing units,"Citizen, 18 and over population",GEO_ID,Zip Code,ucgid,County,County Code,State Number,State,Year
0,0,0,-666666666.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860Z200US99530,99530,860Z200US99530,Anchorage Municipality,0500000US02020,02,Alaska,2023
354,224,130,172.3,0,0,36,0,18,46,43,58,50,14,81,8,0,49.6,36,318,318,300,103,89,345,9,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,345,0,0,0,0,0,0,9,234,303,860Z200US99540,99540,860Z200US99540,Anchorage Municipality,0500000US02020,02,Alaska,2023
6739,3697,3042,121.5,237,146,533,391,407,694,751,764,651,702,996,394,73,48.2,1113,5778,5626,5390,2054,1463,6326,413,5791,8,359,0,0,0,0,0,0,359,13,0,0,2,0,0,0,11,85,0,85,0,0,70,11,159,17,91,0,0,481,61,69,0,351,6258,5499,8,338,13,85,0,91,224,3156,5617,860Z200US99567,99567,860Z200US99567,Anchorage Municipality,0500000US02020,02,Alaska,2023
27917,13989,13928,100.4,2031,1902,2018,1734,1319,5178,3967,3214,1582,1691,2349,883,49,34.4,7146,21399,20771,20102,4094,3281,25010,2907,21967,820,621,8,4,0,0,10,0,599,867,51,152,357,104,140,63,0,344,0,110,6,228,391,548,709,739,287,136,31,1662,907,296,31,428,26255,21208,768,610,813,344,181,79,2252,10854,20524,860Z200US99577,99577,860Z200US99577,Anchorage Municipality,0500000US02020,02,Alaska,2023
1857,1161,696,166.8,41,0,13,245,74,120,172,481,291,119,199,102,0,52.2,233,1750,1624,1529,374,301,1761,96,1748,0,13,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,54,19,35,0,0,1803,1694,0,13,0,0,0,0,96,1587,1499,860Z200US99587,99587,860Z200US99587,Anchorage Municipality,0500000US02020,02,Alaska,2023
12944,6353,6591,96.4,704,493,538,521,1171,2573,2111,1670,780,965,763,532,123,37.0,2004,11090,10940,10491,1850,1418,11300,1644,5934,1006,1896,0,0,0,0,98,0,1798,1915,35,109,1429,0,61,0,281,159,0,0,159,0,390,118,525,268,253,58,51,1086,559,83,60,384,11858,5527,1006,1875,1915,159,76,116,1184,7411,9973,860Z200US99503,99503,860Z200US99503,Bethel Census Area,0500000US02050,02,Alaska,2023
629,295,334,88.3,104,93,66,32,58,82,47,55,30,10,44,8,0,22.6,292,355,337,329,62,52,603,26,1,0,598,0,0,0,0,0,0,598,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,629,1,0,598,0,4,0,0,26,155,332,860Z200US99551,99551,860Z200US99551,Bethel Census Area,0500000US02050,02,Alaska,2023
273,150,123,122.0,21,28,39,36,8,33,36,21,7,13,28,0,3,25.6,107,179,166,149,38,31,273,0,10,0,263,0,0,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,10,0,263,0,0,0,0,0,67,166,860Z200US99552,99552,860Z200US99552,Bethel Census Area,0500000US02050,02,Alaska,2023
707,408,299,136.5,31,41,75,43,47,101,82,43,40,124,63,14,3,36.2,181,556,526,501,107,80,680,27,115,39,494,0,4,0,0,0,0,490,32,0,0,31,0,1,0,0,0,0,0,0,0,0,0,24,0,3,0,0,8,1,4,0,3,699,115,39,490,31,0,0,0,24,460,491,860Z200US99557,99557,860Z200US99557,Bethel Census Area,0500000US02050,02,Alaska,2023
7272,4041,3231,125.1,654,665,580,531,545,1203,906,682,545,373,439,68,81,30.0,2253,5200,5019,4754,798,588,6846,426,1065,165,5332,0,0,0,0,0,0,5332,205,19,0,17,0,169,0,0,30,0,0,30,0,49,10,280,0,45,7,0,229,141,0,0,88,7043,1065,164,5215,205,30,0,0,364,2754,4925,860Z200US99559,99559,860Z200US99559,Bethel Census Area,0500000US02050,02,Alaska,2023
