Variable Code,Description,Category,Sub Category,Sub Sub Category,Information
DP05_0088E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or More Races,,,,Two or More Races
DP05_0089E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or More Races!!Two races including Some Other Race,,,,Two races including Some Other Race
DP05_0084E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,,,,American Indian and Alaska Native alone
DP05_0085E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone,,,,Asian alone
DP05_0086E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,,,,Native Hawaiian and Other Pacific Islander alone
DP05_0087E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some Other Race alone,,,,Some Other Race alone
DP05_0080E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino,,,,Other Hispanic or Latino
DP05_0081E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino,,,,Not Hispanic or Latino
DP05_0082E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,,,,White alone
DP05_0083E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,,,,Black or African American alone
DP05_0016E,Estimate!!SEX AND AGE!!Total population!!75 to 84 years,AGE BRACKET,,,75 to 84 years
DP05_0017E,Estimate!!SEX AND AGE!!Total population!!85 years and over,AGE BRACKET,,,85 years and over
DP05_0018E,Estimate!!SEX AND AGE!!Total population!!Median age (years),SUMMARY INDICATORS,,,Median age (years)
DP05_0019E,Estimate!!SEX AND AGE!!Total population!!Under 18 years,,,,Under 18 years
DP05_0012E,Estimate!!SEX AND AGE!!Total population!!45 to 54 years,AGE BRACKET,,,45 to 54 years
DP05_0013E,Estimate!!SEX AND AGE!!Total population!!55 to 59 years,AGE BRACKET,,,55 to 59 years
DP05_0014E,Estimate!!SEX AND AGE!!Total population!!60 to 64 years,AGE BRACKET,,,60 to 64 years
DP05_0015E,Estimate!!SEX AND AGE!!Total population!!65 to 74 years,AGE BRACKET,,,65 to 74 years
DP05_0010E,Estimate!!SEX AND AGE!!Total population!!25 to 34 years,AGE BRACKET,,,25 to 34 years
DP05_0011E,Estimate!!SEX AND AGE!!Total population!!35 to 44 years,AGE BRACKET,,,35 to 44 years
DP05_0092E,"Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population",SUMMARY INDICATORS,,,"Citizen, 18 and over population"
DP05_0093E,"Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male",SUMMARY INDICATORS,,,"Citizen, 18 and over population, Male"
